log,happy,who,what,where,weather
173,0,Alone,Reading,Home,Snow
174,0,Alone,Making,Home,Rain
175,1,Friend,Resting,Home,Overcast
176,0,Alone,Watching,Home,Snow
177,0,Acquaintance,Making,Waterloo,Snow
178,0,Friend,Working,Waterloo,Clear
179,0,Friend,Working,Waterloo,Overcast
180,0,Alone,Exercising,Waterloo,Snow
181,0,Alone,Browsing,Home,Clear
182,0,Alone,Watching,Home,Clear
183,0,Alone,Resting,Home,Cloudy
184,0,Alone,Showering,Home,Clear
185,0,Alone,Browsing,Home,Clear
186,1,Friend,Partying,Waterloo,Cloudy
187,0,Alone,Commuting,Travel,Snow
188,1,Girlfriend,Playing,London,Cloudy
189,1,Girlfriend,Gaming,London,Cloudy
190,1,Girlfriend,Watching,London,Snow
191,1,Girlfriend,Gaming,London,Snow
192,1,Girlfriend,Playing,London,Snow
193,1,Girlfriend,Playing,London,Cloudy
194,1,Girlfriend,Making,London,Snow
195,1,Girlfriend,Eating,London,Snow
196,1,Girlfriend,Watching,London,Snow
197,0,Alone,Commuting,Travel,Snow
198,0,Alone,Commuting,Travel,Clear
199,0,Alone,Resting,Home,Clear
200,1,Alone,Making,Home,Cloudy
201,0,Alone,Watching,Home,Clear
202,0,Alone,Reading,Home,Cloudy
203,0,Alone,Browsing,Home,Cloudy
204,0,Alone,Recovering,Home,Clear
205,1,Alone,Making,Home,Clear
206,0,Alone,Watching,Home,Clear
207,0,Alone,Commuting,Waterloo,Snow
208,0,Alone,Commuting,Travel,Snow
209,0,Family,Eating,Brantford,Rain
210,0,Family,Resting,Brantford,Rain
211,0,Alone,Browsing,Carlisle,Rain
212,1,Family,Watching,Carlisle,Snow
213,0,Alone,Commuting,Travel,Snow
214,0,Girlfriend,Commuting,Vacation,Overcast
215,1,Girlfriend,Playing,Vacation,Overcast
216,1,Girlfriend,Exercising,Vacation,Overcast
217,1,Girlfriend,Playing,Vacation,Overcast
218,1,Girlfriend,Resting,Vacation,Snow
219,1,Girlfriend,Exercising,Vacation,Snow
220,1,Girlfriend,Eating,Vacation,Overcast
221,1,Girlfriend,Resting,Vacation,Snow
222,0,Girlfriend,Other-ing,Vacation,Clear
223,1,Girlfriend,Resting,Vacation,Clear
224,1,Girlfriend,Listening,Travel,Clear
225,1,Alone,Gaming,Carlisle,Cloudy
226,1,Alone,Making,Home,Overcast
227,0,Alone,Eating,Home,Overcast
228,0,Alone,Browsing,Home,Overcast
229,0,Alone,Resting,Home,Overcast
230,0,Alone,Browsing,Home,Clear
231,1,Alone,Making,Home,Overcast
232,1,Alone,Exercising,Waterloo,Cloudy
233,0,Alone,Resting,Home,Overcast
234,0,Alone,Watching,Home,Overcast
235,0,Alone,Watching,Home,Overcast
236,1,Friend,Watching,Waterloo,Overcast
237,1,Coworker,Making,Waterloo,Cloudy
238,0,Friend,Working,Waterloo,Cloudy
239,1,Alone,Making,Home,Overcast
240,0,Alone,Working,Home,Clear
