Owner,Pos,Forwards/Defensemen,Action,,Opp,Status,Pre-Season,Current,% Started,G,A,#ERROR!,PPP,SOG,HIT,BLK
Max,D,Player NoteBrent Burns SJ - D,,,NYI,19:30,6,6,95%,24,47,9,23,321,88,135
Max,D,No new player NotesMark Giordano Cgy - D,,,@Van,19:00,78,32,94%,12,32,12,18,177,71,188
Max,D,No new player NotesColton Parayko StL - D,,,@TB,16:00,129,87,76%,8,33,13,9,171,90,120
Max,BN,"New Player NotePatrice Bergeron Bos - C
Day-to-Day",,,@Ari,18:00,50,38,32%,23,32,14,16,241,60,51
Max,BN,"New Player NoteHenrik Zetterberg Det - C,LW",,,,,167,120,31%,17,40,10,11,177,50,24
Max,BN,Player NoteIvan Provorov Phi - D,,,Was,16:00,223,199,42%,7,27,-9,4,169,120,155
Max,IR,"New Player NoteAlec Martinez LA - D
Injured Reserve",,,Buf,19:30,241,64,5%,9,25,10,14,149,141,155
,,,,,,,,,,,,,,,,
,,,,,,,Rankings,,Fantasy,Offense,,,,,,
,Pos,Forwards/Defensemen,Action,,Opp,Status,Pre-Season,Current,% Started,G,A,#ERROR!,PPP,SOG,HIT,BLK
Sharva,C,Player NoteJohn Tavares NYI - C,,,@SJ,19:30,21,36,76%,31,40,5,20,255,44,24
Sharva,C,Player NoteLogan Couture SJ - C,,,NYI,19:30,65,69,61%,27,33,6,19,199,54,54
Sharva,LW,Player NoteMax Pacioretty Mon - LW,,,Tor,16:00,28,34,73%,33,34,7,14,277,81,33
Sharva,LW,Player NoteJames van Riemsdyk Tor - LW,,,@Mon,16:00,80,76,74%,28,31,4,17,242,59,29
Sharva,RW,Player NoteNikita Kucherov TB - RW,,,StL,16:00,9,14,91%,34,44,11,26,249,45,22
Sharva,RW,"Player NoteDustin Brown LA - LW,RW",,,Buf,19:30,336,234,17%,14,21,-6,4,161,191,28
Sharva,D,Player NoteP.K. Subban Nsh - D,,,@Chi,17:30,40,121,94%,11,31,2,18,169,82,91
