player,team,position,games,fantasy_points,vorp
Logan Couture,San Jose,C,70,514.3,-115.16500000000008
Nazem Kadri,Toronto,C,78,514.3,-115.16500000000008
Tomas Tatar,Detroit,LW,81,451.20000000000005,-117.39999999999998
Rick Nash,N.Y. Rangers,LW,68,450.5,-118.10000000000002
Milan Lucic,Edmonton,LW,81,447.6,-121
Aaron Ekblad,Florida,D,75,402.9,-121.63499999999999
Matthew Tkachuk,Calgary,LW,78,443.8,-124.80000000000001
Gabriel Landeskog,Colorado,LW,75,442,-126.60000000000002
Mike Green,Detroit,D,73,397.6,-126.93499999999995
Jake Gardiner,Toronto,D,81,397.5,-127.03499999999997
Tyler Myers,Winnipeg,D,76,397.5,-127.03499999999997
Nino Niederreiter,Minnesota,RW,82,468,-127.13
Matt Dumba,Minnesota,D,76,396.8,-127.73499999999996
Clayton Keller,Arizona,LW,77,440,-128.60000000000002
Ryan Hartman,Chicago,LW,78,438.9,-129.70000000000005
Kyle Okposo,Buffalo,RW,68,465.3,-129.82999999999998
Sami Vatanen,Anaheim,D,67,394.2,-130.33499999999998
Mikko Koivu,Minnesota,C,81,499.1,-130.365
Tomas Hertl,San Jose,C,75,498.70000000000005,-130.765
T.J. Brodie,Calgary,D,79,392.8,-131.73499999999996
Jake Guentzel,Pittsburgh,RW,78,462.1,-133.02999999999997
Ryan O'Reilly,Buffalo,C,76,496.3,-133.16500000000002
David Backes,Boston,RW,77,461.4,-133.73000000000002
Tyler Toffoli,Los Angeles,RW,71,461.3,-133.82999999999998
Conor Sheary,Pittsburgh,LW,74,434.20000000000005,-134.39999999999998
Dmitry Orlov,Washington,D,82,389.2,-135.33499999999998
Justin Williams,Carolina,RW,81,459.3,-135.82999999999998
Andrew Ladd,N.Y. Islanders,LW,78,432.70000000000005,-135.89999999999998
Brady Skjei,N.Y. Rangers,D,80,387.70000000000005,-136.83499999999992
Derek Stepan,Arizona,C,76,491.8,-137.66500000000002
Mattias Ekholm,Nashville,D,82,384.4,-140.135
Calvin De Haan,N.Y. Islanders,D,75,384.2,-140.33499999999998
Alexander Radulov,Dallas,RW,77,454.1,-141.02999999999997
Max Domi,Arizona,LW,77,425.70000000000005,-142.89999999999998
Jeff Petry,Montreal,D,72,381.3,-143.23499999999996
Gustav Nyquist,Detroit,RW,79,451.70000000000005,-143.42999999999995
Teuvo Teravainen,Carolina,LW,79,422.70000000000005,-145.89999999999998
Jason Pominville,Buffalo,RW,78,449.20000000000005,-145.92999999999995
David Savard,Columbus,D,74,378.4,-146.135
Kyle Turris,Ottawa,C,75,483.3,-146.16500000000002
Nikita Zaitsev,Toronto,D,80,376.8,-147.73499999999996
Jason Spezza,Dallas,C,73,480.4,-149.06500000000005
Shea Theodore,Vegas,D,78,374.4,-150.135
Anthony Mantha,Detroit,RW,77,444.3,-150.82999999999998
Marcus Johansson,New Jersey,LW,80,414.8,-153.8
Anton Stralman,Tampa Bay,D,76,367.9,-156.635
Dylan Larkin,Detroit,LW,80,411.70000000000005,-156.89999999999998
Michael Frolik,Calgary,RW,78,436.9,-158.23000000000002
Andre Burakovsky,Washington,LW,78,409.9,-158.70000000000005
Sam Reinhart,Buffalo,RW,79,436.4,-158.73000000000002
Alexander Steen,St. Louis,LW,66,408.1,-160.5
Josh Morrissey,Winnipeg,D,80,363.1,-161.43499999999995
Mika Zibanejad,N.Y. Rangers,C,75,468,-161.46500000000003
Charlie Coyle,Minnesota,RW,82,433.5,-161.63
Tyler Johnson,Tampa Bay,C,70,464.20000000000005,-165.265
Mikael Backlund,Calgary,C,77,463.9,-165.56500000000005
Derick Brassard,Ottawa,C,80,461.5,-167.96500000000003
Matt Duchene,Colorado,C,78,459.8,-169.66500000000002
Patrick Maroon,Edmonton,LW,77,398.6,-170
Brendan Gallagher,Montreal,RW,67,422,-173.13
Patrick Sharp,Chicago,LW,66,395.4,-173.20000000000005
Jonathan Marchessault,Vegas,LW,74,393.4,-175.20000000000005
Josh Bailey,N.Y. Islanders,LW,79,393.20000000000005,-175.39999999999998
Brett Pesce,Carolina,D,79,348.7,-175.83499999999998
Radko Gudas,Philadelphia,D,71,347.9,-176.635
Jack Johnson,Columbus,D,76,347.1,-177.43499999999995
Scott Hartnell,Nashville,LW,78,390.9,-177.70000000000005
Hampus Lindholm,Anaheim,D,70,346.4,-178.135
Joe Thornton,San Jose,C,80,450.6,-178.865
Frans Nielsen,Detroit,C,79,449.4,-180.06500000000005
Alex Galchenyuk,Montreal,C,74,447.9,-181.56500000000005
Elias Lindholm,Carolina,RW,77,411.8,-183.32999999999998
Oliver Bjorkstrand,Columbus,RW,77,410.8,-184.32999999999998
Alex DeBrincat,Chicago,LW,72,384,-184.60000000000002
Evgeni Dadonov,Florida,LW,77,381.1,-187.5
Vadim Shipachyov,Vegas,C,75,441.6,-187.865
Adam Larsson,Edmonton,D,76,335.8,-188.73499999999996
Boone Jenner,Columbus,C,76,440.70000000000005,-188.765
Loui Eriksson,Vancouver,LW,73,379.6,-189
David Perron,Vegas,LW,79,378.8,-189.8
Jason Zucker,Minnesota,LW,70,374.3,-194.3
Reilly Smith,Vegas,RW,81,398.70000000000005,-196.42999999999995
Michael Del Zotto,Vancouver,D,66,327.6,-196.93499999999995
Thomas Chabot,Ottawa,D,77,327.5,-197.03499999999997
Julius Honka,Dallas,D,77,326.9,-197.635
