name,rating,time,age,complexity,abstract,childrens,customizable,family,party,strategy,thematic,wargames
Francis Drake,7.4,90.0,14.0,2.93,0,0,0,0,0,1,0,0
Wavelength,7.5,30.0,14.0,1.09,0,0,0,0,1,0,0,0
DVONN,7.4,30.0,9.0,2.67,1,0,0,0,0,0,0,0
Star Wars: Destiny,7.5,30.0,10.0,2.28,0,0,1,0,0,0,0,0
Blackout: Hong Kong,7.5,75.0,14.0,3.47,0,0,0,0,0,1,0,0
Carson City,7.2,90.0,12.0,3.18,0,0,0,0,0,1,0,0
Camel Up,7.0,20.0,8.0,1.48,0,0,0,1,0,0,0,0
Railroad Ink: Deep Blue Edition,7.3,20.0,8.0,1.51,0,0,0,1,0,0,0,0
A Game of Thrones: The Card Game (Second Edition),7.6,60.0,14.0,3.53,0,0,1,0,0,0,0,0
Love Letter Premium,7.5,20.0,8.0,1.31,0,0,0,1,0,0,0,0
Earth Reborn,7.7,180.0,13.0,3.89,0,0,0,0,0,0,1,0
Zombicide,7.2,60.0,14.0,2.54,0,0,0,0,0,0,1,0
Gears of War: The Board Game,7.5,60.0,14.0,2.89,0,0,0,0,0,0,1,0
Broom Service,7.2,30.0,10.0,2.40,0,0,0,1,0,0,0,0
Struggle of Empires,7.5,180.0,13.0,3.60,0,0,0,0,0,1,0,0
Hadara,7.5,45.0,10.0,2.19,0,0,0,0,0,1,0,0
Space Empires: 4X,7.7,180.0,12.0,3.35,0,0,0,0,0,0,0,1
Tobago,7.1,60.0,10.0,2.13,0,0,0,1,0,0,0,0
Snowdonia,7.4,30.0,10.0,3.00,0,0,0,0,0,1,0,0
Quantum,7.3,60.0,13.0,2.45,0,0,0,0,0,1,0,0
Carcassonne: Hunters and Gatherers,7.1,35.0,8.0,1.92,0,0,0,1,0,0,0,0
Jamaica,7.1,30.0,8.0,1.65,0,0,0,1,0,0,0,0
The Republic of Rome,7.5,300.0,14.0,4.34,0,0,0,0,0,1,0,0
Through the Desert,7.1,45.0,10.0,2.21,1,0,0,0,0,0,0,0
Mare Nostrum: Empires,7.6,90.0,14.0,3.03,0,0,0,0,0,1,0,0
Kanban EV,8.8,60.0,14.0,4.30,0,0,0,0,0,1,0,0
Magic Maze,7.1,15.0,8.0,1.75,0,0,0,1,0,0,0,0
