name,rating,time,age,complexity,abstract,childrens,customizable,family,party,strategy,thematic,wargames
Pandemic: Rising Tide,7.6,45.0,8.0,2.44,0,0,0,0,0,1,0,0
Rhino Hero,6.9,5.0,5.0,1.03,0,1,0,0,0,0,0,0
Pictomania,7.3,25.0,9.0,1.52,0,0,0,0,1,0,0,0
Dale of Merchants,7.2,30.0,10.0,2.09,0,0,0,1,0,0,0,0
Unfair,7.3,50.0,14.0,2.71,0,0,0,0,0,1,0,0
"Air, Land, & Sea",7.6,15.0,14.0,1.83,0,0,0,0,0,1,0,0
Web of Power,7.3,50.0,12.0,2.45,0,0,0,1,0,0,0,0
Kitchen Rush,7.4,30.0,12.0,2.23,0,0,0,1,0,0,0,0
Cloudspire,8.2,90.0,13.0,4.20,0,0,0,0,0,1,0,0
Adrenaline,7.1,30.0,12.0,2.33,0,0,0,0,0,1,0,0
Can't Stop,6.8,30.0,9.0,1.16,0,0,0,1,0,0,0,0
Dungeons & Dragons: Wrath of Ashardalon Board Game,7.1,60.0,12.0,2.62,0,0,0,0,0,0,1,0
The Others,7.4,90.0,14.0,3.04,0,0,0,0,0,0,1,0
Britannia,7.2,180.0,12.0,3.17,0,0,0,0,0,0,0,1
Legacy: The Testament of Duke de Crecy,7.2,60.0,8.0,2.71,0,0,0,0,0,1,0,0
Wasteland Express Delivery Service,7.4,90.0,13.0,2.91,0,0,0,0,0,1,0,0
The City of Kings,7.7,45.0,14.0,3.18,0,0,0,0,0,1,0,0
Lanterns: The Harvest Festival,6.9,30.0,8.0,1.57,0,0,0,1,0,0,0,0
Tammany Hall,7.3,90.0,12.0,2.78,0,0,0,0,0,1,0,0
Railroad Ink: Blazing Red Edition,7.2,20.0,8.0,1.45,0,0,0,1,0,0,0,0
Tiny Epic Quest,7.1,30.0,14.0,2.68,0,0,0,0,0,1,0,0
Ticket to Ride: Rails & Sails,7.4,60.0,10.0,2.57,0,0,0,1,0,0,0,0
Empire of the Sun,8.2,360.0,12.0,4.28,0,0,0,0,0,0,0,1
Flick 'em Up!,6.9,30.0,7.0,1.33,0,0,0,1,0,0,0,0
Crystal Palace,7.6,90.0,14.0,3.75,0,0,0,0,0,1,0,0
Dream Factory,7.1,60.0,10.0,2.11,0,0,0,1,0,0,0,0
Attika,7.0,45.0,10.0,2.37,0,0,0,0,0,1,0,0
Palm Island,7.2,15.0,10.0,1.75,0,0,0,1,0,0,0,0
Tang Garden,7.6,40.0,14.0,2.59,0,0,0,1,0,0,0,0
5-Minute Dungeon,7.0,5.0,8.0,1.12,0,0,0,1,0,0,0,0
Crown of Emara,7.5,45.0,12.0,3.13,0,0,0,0,0,1,0,0
Trismegistus: The Ultimate Formula,7.7,90.0,14.0,4.05,0,0,0,0,0,1,0,0
Polis: Fight for the Hegemony,7.6,90.0,12.0,3.69,0,0,0,0,0,1,0,0
Concept,6.8,40.0,10.0,1.40,0,0,0,0,1,0,0,0
Wizard,6.9,45.0,10.0,1.73,0,0,0,1,0,0,0,0
Zooloretto,6.8,45.0,8.0,1.86,0,0,0,1,0,0,0,0
Qwixx,6.9,15.0,8.0,1.12,0,0,0,1,0,0,0,0
Ascension: Return of the Fallen,7.3,30.0,13.0,2.18,0,0,0,0,0,1,0,0
Mahjong,7.0,120.0,8.0,2.57,1,0,0,0,0,0,0,0
The Bloody Inn,7.0,30.0,14.0,2.39,0,0,0,0,0,1,0,0
Dungeons & Dragons: Castle Ravenloft Board Game,7.0,60.0,12.0,2.51,0,0,0,0,0,0,1,0
Discoveries: The Journals of Lewis and Clark,7.1,60.0,14.0,2.35,0,0,0,0,0,1,0,0
Snow Tails,7.0,45.0,10.0,2.05,0,0,0,1,0,0,0,0
Marvel Dice Masters: Uncanny X-Men,7.2,60.0,14.0,2.37,0,0,1,0,0,0,0,0
Hannibal & Hamilcar,8.4,40.0,12.0,3.91,0,0,0,0,0,0,0,1
Fabled Fruit,7.0,20.0,8.0,1.58,0,0,0,1,0,0,0,0
Legendary Encounters: A Predator Deck Building Game,7.5,45.0,17.0,2.69,0,0,0,0,0,0,1,0
La Città,7.0,120.0,12.0,3.28,0,0,0,0,0,1,0,0
Disney Villainous: Wicked to the Core,7.7,40.0,10.0,2.33,0,0,0,1,0,0,0,0
The Lost Expedition,7.1,30.0,14.0,1.85,0,0,0,0,0,0,1,0
Antike,7.1,120.0,12.0,3.00,0,0,0,0,0,1,0,0
DC Comics Deck-Building Game,7.0,45.0,15.0,2.00,0,0,0,0,0,0,1,0
Meeple Circus,7.1,45.0,8.0,1.45,0,0,0,1,0,0,0,0
Merchant of Venus (Second Edition),7.2,120.0,14.0,3.02,0,0,0,0,0,1,0,0
Star Wars: The Queen's Gambit,7.5,120.0,12.0,2.49,0,0,0,0,0,0,1,0
Gold West,7.4,45.0,13.0,2.44,0,0,0,0,0,1,0,0
Zombicide Season 3: Rue Morgue,7.5,60.0,14.0,2.48,0,0,0,0,0,0,1,0
Werewords,7.2,10.0,8.0,1.19,0,0,0,0,1,0,0,0
Beyond the Sun,8.2,60.0,14.0,3.03,0,0,0,0,0,1,0,0
Black Rose Wars,8.1,90.0,14.0,3.44,0,0,0,0,0,1,0,0
The Speicherstadt,7.0,45.0,8.0,2.27,0,0,0,1,0,0,0,0
History of the World,7.1,135.0,12.0,2.77,0,0,0,0,0,1,0,0
CO₂,7.1,120.0,12.0,3.87,0,0,0,0,0,1,0,0
Battle for Rokugan,7.5,60.0,14.0,2.75,0,0,0,0,0,1,0,0
Fleet: The Dice Game,7.8,30.0,8.0,2.68,0,0,0,0,0,1,0,0
Smash Up: Pretty Pretty Smash Up,7.3,45.0,14.0,2.15,0,0,0,0,0,1,0,0
The Grimm Forest,7.1,45.0,14.0,1.87,0,0,0,1,0,0,0,0
Parade,7.0,45.0,12.0,1.48,0,0,0,1,0,0,0,0
Automobiles,7.3,45.0,10.0,2.17,0,0,0,1,0,0,0,0
Qwirkle,6.8,45.0,6.0,1.62,1,0,0,0,0,0,0,0
Sub Terra,7.4,60.0,10.0,2.14,0,0,0,0,0,0,1,0
The Shipwreck Arcana,7.5,10.0,12.0,2.12,0,0,0,0,0,1,0,0
Thunderstone: Dragonspire,7.3,45.0,12.0,2.70,0,0,0,0,0,1,0,0
Mr. Jack Pocket,6.9,15.0,14.0,1.83,0,0,0,0,0,1,0,0
Space Hulk (Fourth Edition),8.0,60.0,12.0,2.72,0,0,0,0,0,0,1,0
Bus,7.5,120.0,14.0,3.06,0,0,0,0,0,1,0,0
Manila,7.0,60.0,10.0,2.03,0,0,0,1,0,0,0,0
Star Trek: Frontiers,7.9,60.0,14.0,4.32,0,0,0,0,0,1,0,0
Blitzkrieg!: World War Two in 20 Minutes,7.7,20.0,14.0,1.76,0,0,0,0,0,1,0,0
Valley of the Kings,7.1,45.0,14.0,2.19,0,0,0,0,0,1,0,0
Cerebria: The Inside World,7.8,60.0,14.0,4.29,0,0,0,0,0,1,0,0
Mint Works,7.0,10.0,13.0,1.65,0,0,0,0,0,1,0,0
Railroad Revolution,7.4,45.0,12.0,3.26,0,0,0,0,0,1,0,0
Cottage Garden,6.9,45.0,8.0,1.90,0,0,0,1,0,0,0,0
Jaws,7.3,60.0,12.0,2.16,0,0,0,0,0,0,1,0
BattleCON: War of Indines,7.7,15.0,9.0,2.77,0,0,0,0,0,1,0,0
Rex: Final Days of an Empire,7.1,120.0,14.0,3.27,0,0,0,0,0,1,0,0
Batman: Gotham City Chronicles,7.8,60.0,14.0,3.67,0,0,0,0,0,0,1,0
Fantastic Factories,7.5,45.0,14.0,2.23,0,0,0,0,0,1,0,0
"Warhammer 40,000: Conquest",7.4,30.0,14.0,3.04,0,0,1,0,0,0,0,0
Unmatched: Cobble & Fog,8.4,20.0,9.0,2.06,0,0,0,1,0,0,0,0
SpaceCorp,7.7,60.0,12.0,2.95,0,0,0,0,0,1,0,0
Atlantis Rising (Second Edition),7.8,60.0,10.0,2.44,0,0,0,1,0,0,0,0
Tak,7.6,20.0,12.0,2.50,1,0,0,0,0,0,0,0
Wiz-War (Eighth Edition),7.1,30.0,14.0,2.32,0,0,0,0,0,0,1,0
Smash Up: Monster Smash,7.3,30.0,12.0,2.29,0,0,0,1,0,0,0,0
Menara,7.5,10.0,8.0,1.60,0,0,0,1,0,0,0,0
Black Fleet,7.0,60.0,14.0,1.95,0,0,0,1,0,0,0,0
World's Fair 1893,7.2,35.0,10.0,1.99,0,0,0,1,0,0,0,0
Fields of Green,7.2,45.0,12.0,2.63,0,0,0,0,0,1,0,0
Majesty: For the Realm,7.0,20.0,7.0,1.72,0,0,0,1,0,0,0,0
Stronghold,7.2,120.0,10.0,3.69,0,0,0,0,0,1,0,0
Rivals for Catan,7.0,45.0,10.0,2.33,0,0,0,0,0,1,0,0
Netrunner,7.4,45.0,10.0,2.93,0,0,1,0,0,0,0,0
A Study in Emerald,7.2,90.0,13.0,3.44,0,0,0,0,0,1,0,0
Tide of Iron,7.2,120.0,12.0,3.46,0,0,0,0,0,0,0,1
Dice Hospital,7.2,45.0,10.0,2.29,0,0,0,1,0,0,0,0
Call to Adventure,7.2,30.0,9.0,2.02,0,0,0,0,0,0,1,0
Islebound,7.2,60.0,13.0,2.72,0,0,0,0,0,1,0,0
Wilderness War,7.7,180.0,12.0,3.30,0,0,0,0,0,0,0,1
Vinci,7.1,90.0,14.0,2.78,0,0,0,0,0,1,0,0
Lovecraft Letter,7.2,5.0,10.0,1.48,0,0,0,0,1,0,0,0
Q.E.,7.5,45.0,8.0,1.75,0,0,0,0,0,1,0,0
Firenze,7.2,60.0,12.0,2.55,0,0,0,1,0,0,0,0
Winner's Circle,7.0,45.0,10.0,1.61,0,0,0,1,0,0,0,0
Istanbul: The Dice Game,7.2,20.0,8.0,1.75,0,0,0,1,0,0,0,0
Luxor,7.2,45.0,8.0,1.94,0,0,0,1,0,0,0,0
Nations: The Dice Game,7.0,20.0,14.0,2.01,0,0,0,1,0,0,0,0
Love Letter,7.7,20.0,10.0,1.16,0,0,0,1,0,0,0,0
Condottiere,6.8,45.0,14.0,1.96,0,0,0,0,0,1,0,0
The Big Book of Madness,7.0,60.0,12.0,2.70,0,0,0,0,0,1,0,0
When I Dream,7.1,20.0,8.0,1.14,0,0,0,0,1,0,0,0
Lowlands,7.4,50.0,12.0,3.03,0,0,0,0,0,1,0,0
Loony Quest,6.9,20.0,8.0,1.19,0,0,0,1,0,0,0,0
Blue Lagoon,7.2,30.0,8.0,2.03,1,0,0,0,0,0,0,0
Via Nebula,7.1,45.0,12.0,2.24,0,0,0,1,0,0,0,0
Ticket to Ride: New York,7.0,10.0,8.0,1.27,0,0,0,1,0,0,0,0
"Hey, That's My Fish!",6.7,20.0,8.0,1.46,1,0,0,0,0,0,0,0
Metropolys,7.0,45.0,8.0,2.21,0,0,0,0,0,1,0,0
Axis & Allies Anniversary Edition,7.4,360.0,12.0,3.10,0,0,0,0,0,0,0,1
Tales & Games: The Hare & the Tortoise,7.1,15.0,7.0,1.38,0,0,0,1,0,0,0,0
Mr. Jack in New York,7.2,30.0,14.0,2.54,0,0,0,0,0,1,0,0
Battles of Westeros,7.3,60.0,12.0,3.21,0,0,0,0,0,0,1,0
A Distant Plain,7.9,180.0,12.0,3.81,0,0,0,0,0,0,0,1
Terror in Meeple City,6.9,45.0,8.0,1.48,0,0,0,1,0,0,0,0
Disney Villainous: Evil Comes Prepared,7.7,40.0,10.0,2.21,0,0,0,1,0,0,0,0
Zendo,7.3,60.0,8.0,2.54,1,0,0,0,0,0,0,0
Shadowrun: Crossfire,7.2,30.0,13.0,2.82,0,0,0,0,0,0,1,0
China,7.0,45.0,12.0,2.29,0,0,0,0,0,1,0,0
Smash Up,6.7,45.0,12.0,2.06,0,0,0,0,0,1,0,0
Falling Sky: The Gallic Revolt Against Caesar,7.9,180.0,14.0,4.01,0,0,0,0,0,0,0,1
DinoGenics,7.7,90.0,14.0,2.92,0,0,0,0,0,0,1,0
NMBR 9,6.9,20.0,8.0,1.22,1,0,0,0,0,0,0,0
Dice Town,6.9,45.0,10.0,1.68,0,0,0,1,0,0,0,0
Battle Cry,7.2,45.0,10.0,2.10,0,0,0,0,0,0,0,1
Letter Jam,7.3,45.0,10.0,2.05,0,0,0,1,0,0,0,0
ICECOOL,6.8,30.0,6.0,1.02,0,1,0,0,0,0,0,0
Massive Darkness,7.2,120.0,14.0,2.55,0,0,0,0,0,0,1,0
Fauna,7.0,45.0,8.0,1.48,0,0,0,1,0,0,0,0
Paleo,7.9,45.0,10.0,2.57,0,0,0,0,0,0,1,0
"Time of Crisis: The Roman Empire in Turmoil, 235-284 AD",7.7,120.0,14.0,2.95,0,0,0,0,0,1,0,0
Container: 10th Anniversary Jumbo Edition!,7.7,75.0,13.0,2.95,0,0,0,0,0,1,0,0
The Lord of the Rings,6.8,60.0,12.0,2.56,0,0,0,0,0,0,1,0
Quartermaster General,7.4,90.0,12.0,2.29,0,0,0,0,0,1,0,0
Empires of the Void II,7.5,90.0,13.0,3.46,0,0,0,0,0,1,0,0
Riverboat,7.5,90.0,10.0,2.90,0,0,0,0,0,1,0,0
Eight-Minute Empire: Legends,7.0,16.0,13.0,1.98,0,0,0,1,0,0,0,0
Ikusa,7.0,240.0,12.0,2.95,0,0,0,0,0,0,1,0
Imperial Struggle,8.4,120.0,12.0,3.89,0,0,0,0,0,1,0,0
1889: History of Shikoku Railways,8.0,210.0,14.0,3.95,0,0,0,0,0,1,0,0
Princes of the Renaissance,7.4,180.0,12.0,3.51,0,0,0,0,0,1,0,0
Quarriors!,6.8,30.0,14.0,1.97,0,0,0,0,0,1,0,0
Fog of Love,6.9,60.0,17.0,2.25,0,0,0,0,0,0,1,0
Yggdrasil,7.0,90.0,13.0,2.60,0,0,0,0,0,1,0,0
1812: The Invasion of Canada,7.3,90.0,10.0,2.18,0,0,0,0,0,1,0,0
Runebound: Second Edition,6.9,120.0,12.0,2.68,0,0,0,0,0,0,1,0
Linko!,7.0,20.0,10.0,1.40,0,0,0,1,0,0,0,0
Domaine,7.0,60.0,12.0,2.72,0,0,0,0,0,1,0,0
Diamonds: Second Edition,6.9,20.0,8.0,1.55,0,0,0,1,0,0,0,0
Ambush!,7.5,240.0,12.0,3.25,0,0,0,0,0,0,0,1
Zombicide: Invader,7.9,60.0,14.0,2.37,0,0,0,0,0,1,0,0
No Retreat! The Russian Front,7.8,360.0,14.0,3.12,0,0,0,0,0,0,0,1
Witness,7.3,15.0,13.0,1.48,0,0,0,0,1,0,0,0
Warhammer Quest,7.5,120.0,12.0,2.69,0,0,0,0,0,0,1,0
Honshū,7.0,30.0,8.0,1.95,0,0,0,1,0,0,0,0
Wendake,7.6,60.0,14.0,3.60,0,0,0,0,0,1,0,0
Wildlands,7.3,30.0,14.0,2.09,0,0,0,0,0,1,0,0
Raccoon Tycoon,7.4,60.0,8.0,2.13,0,0,0,1,0,0,0,0
Dream Home,6.9,30.0,7.0,1.67,0,0,0,1,0,0,0,0
Watson & Holmes,7.4,45.0,12.0,2.19,0,0,0,0,0,0,1,0
Two Rooms and a Boom,7.0,7.0,8.0,1.43,0,0,0,0,1,0,0,0
Deep Space D-6,7.3,30.0,10.0,1.66,0,0,0,0,0,0,1,0
The Magnificent,7.6,60.0,14.0,3.15,0,0,0,0,0,1,0,0
Legend of the Five Rings: The Card Game,7.5,45.0,14.0,4.00,0,0,1,0,0,0,0,0
Kingsburg (Second Edition),7.5,90.0,10.0,2.49,0,0,0,0,0,1,0,0
Sons of Anarchy: Men of Mayhem,7.3,90.0,13.0,2.53,0,0,0,0,0,0,1,0
Level 7 [Omega Protocol],7.5,60.0,14.0,3.12,0,0,0,0,0,1,0,0
Hardback,7.3,45.0,10.0,2.11,0,0,0,1,0,0,0,0
Animal Upon Animal,6.8,15.0,4.0,1.05,0,1,0,0,0,0,0,0
Unlock!: Escape Adventures – Squeek & Sausage,7.2,45.0,10.0,2.13,0,0,0,0,0,0,1,0
Caylus Magna Carta,6.9,45.0,10.0,2.87,0,0,0,0,0,1,0,0
Manoeuvre,7.3,60.0,12.0,2.11,0,0,0,0,0,0,0,1
Automania,7.3,60.0,12.0,2.74,0,0,0,0,0,1,0,0
Cat Lady,7.1,15.0,8.0,1.46,0,0,0,1,0,0,0,0
Primordial Soup,6.9,90.0,12.0,2.73,0,0,0,0,0,1,0,0
Paper Tales,7.1,30.0,12.0,2.12,0,0,0,0,0,1,0,0
Power Grid: Factory Manager,6.9,60.0,12.0,3.00,0,0,0,0,0,1,0,0
Herbaceous,7.1,15.0,8.0,1.18,0,0,0,1,0,0,0,0
Steam Park,6.9,60.0,10.0,2.12,0,0,0,1,0,0,0,0
Pan Am,7.8,60.0,12.0,2.54,0,0,0,0,0,1,0,0
Yellow & Yangtze,7.9,90.0,14.0,3.14,0,0,0,0,0,1,0,0
Loopin' Louie,6.8,10.0,4.0,1.05,0,1,0,0,0,0,0,0
Fangs,6.8,60.0,10.0,1.82,0,0,0,0,1,0,0,0
Risk: Star Wars Edition,7.0,30.0,10.0,1.85,0,0,0,0,0,0,1,0
For the People,7.7,360.0,12.0,3.71,0,0,0,0,0,0,0,1
Vikings Gone Wild,7.2,45.0,10.0,2.22,0,0,0,0,0,1,0,0
Whistle Stop,7.1,75.0,13.0,2.80,0,0,0,0,0,1,0,0
Tsuro,6.7,15.0,8.0,1.24,1,0,0,0,0,0,0,0
Fortune and Glory: The Cliffhanger Game,7.1,90.0,12.0,2.88,0,0,0,0,0,0,1,0
Coffee Roaster,7.6,10.0,12.0,2.14,0,0,0,0,0,1,0,0
Vanuatu,7.2,90.0,12.0,3.33,0,0,0,0,0,1,0,0
Duelosaur Island,7.2,30.0,10.0,2.35,0,0,0,0,0,1,0,0
Coconuts,7.0,20.0,6.0,1.04,0,1,0,0,0,0,0,0
Pathfinder Adventure Card Game: Skull & Shackles – Base Set,7.3,90.0,13.0,2.95,0,0,1,0,0,0,0,0
Haggis,7.0,45.0,13.0,2.12,0,0,0,0,0,1,0,0
Mottainai,7.0,15.0,13.0,3.09,0,0,0,0,0,1,0,0
Witch's Brew,7.0,45.0,9.0,1.87,0,0,0,1,0,0,0,0
Ninjato,7.2,60.0,12.0,2.76,0,0,0,0,0,1,0,0
Ghost Fightin' Treasure Hunters,7.2,30.0,8.0,1.64,0,1,0,0,0,0,0,0
"Julius Caesar: Caesar, Pompey, and the Roman Civil War",7.8,120.0,12.0,2.45,0,0,0,0,0,0,0,1
Quarto,6.9,20.0,8.0,1.94,1,0,0,0,0,0,0,0
Fleet,6.9,30.0,10.0,2.24,0,0,0,0,0,1,0,0
La Isla,6.9,30.0,10.0,2.25,0,0,0,1,0,0,0,0
Blueprints,6.8,30.0,14.0,1.69,0,0,0,1,0,0,0,0
Andean Abyss,7.6,360.0,12.0,3.78,0,0,0,0,0,0,0,1
Archaeology: The New Expedition,7.2,20.0,10.0,1.29,0,0,0,1,0,0,0,0
Escape Room: The Game,7.1,60.0,16.0,2.26,0,0,0,1,0,0,0,0
Hansa,6.9,60.0,10.0,2.34,0,0,0,0,0,1,0,0
Plague Inc.: The Board Game,7.5,60.0,14.0,2.16,0,0,0,0,0,1,0,0
Catan Card Game,6.7,60.0,10.0,2.45,0,0,0,0,0,1,0,0
Peloponnes,7.1,45.0,10.0,2.38,0,0,0,0,0,1,0,0
Hamburgum,7.1,75.0,12.0,3.08,0,0,0,0,0,1,0,0
Strasbourg,7.2,60.0,12.0,2.74,0,0,0,0,0,1,0,0
Trains: Rising Sun,7.5,45.0,12.0,2.44,0,0,0,0,0,1,0,0
Merlin,7.1,75.0,14.0,3.09,0,0,0,0,0,1,0,0
The Prodigals Club,7.3,40.0,14.0,3.27,0,0,0,0,0,1,0,0
Chimera Station,7.3,60.0,13.0,3.14,0,0,0,0,0,1,0,0
The Reckoners,7.8,60.0,13.0,2.73,0,0,0,0,0,0,1,0
Claustrophobia 1643,8.1,45.0,14.0,2.58,0,0,0,0,0,0,1,0
Legacy of Dragonholt,7.3,60.0,14.0,1.21,0,0,0,0,0,0,1,0
Unlock!: Timeless Adventures,8.0,60.0,10.0,2.00,0,0,0,0,0,0,1,0
Carcassonne: South Seas,7.1,35.0,8.0,1.88,0,0,0,1,0,0,0,0
Fairy Tale,6.7,30.0,10.0,1.77,0,0,0,1,0,0,0,0
Forum Trajanum,7.3,60.0,12.0,3.49,0,0,0,0,0,1,0,0
Ultimate Werewolf: Ultimate Edition,7.0,30.0,8.0,1.49,0,0,0,0,1,0,0,0
Canvas,7.8,30.0,14.0,1.59,0,0,0,1,0,0,0,0
Dead Men Tell No Tales,7.1,60.0,13.0,2.52,0,0,0,0,0,1,0,0
Machi Koro,6.6,30.0,10.0,1.53,0,0,0,1,0,0,0,0
Three Kingdoms Redux,7.9,135.0,14.0,4.04,0,0,0,0,0,1,0,0
Rise of Augustus,6.7,30.0,8.0,1.63,0,0,0,1,0,0,0,0
Thunderbolt Apache Leader,8.1,90.0,12.0,3.19,0,0,0,0,0,0,0,1
Conflict of Heroes: Storms of Steel! – Kursk 1943,7.7,120.0,12.0,3.11,0,0,0,0,0,0,0,1
Colossal Arena,6.8,40.0,8.0,2.02,0,0,0,1,0,0,0,0
Explorers of the North Sea,7.4,45.0,12.0,2.16,0,0,0,0,0,1,0,0
Fief: France 1429,7.4,120.0,13.0,3.80,0,0,0,0,0,1,0,0
GIPF,7.1,30.0,9.0,2.77,1,0,0,0,0,0,0,0
Hacienda,6.9,60.0,10.0,2.63,0,0,0,0,0,1,0,0
Cleopatra and the Society of Architects,6.8,60.0,10.0,2.29,0,0,0,1,0,0,0,0
Planet Steam,7.1,90.0,14.0,3.76,0,0,0,0,0,1,0,0
Mission: Red Planet,6.9,60.0,10.0,2.32,0,0,0,0,0,1,0,0
Reavers of Midgard,7.5,60.0,14.0,2.89,0,0,0,0,0,1,0,0
Keythedral,7.1,60.0,8.0,2.86,0,0,0,0,0,1,0,0
Agra,7.3,90.0,12.0,4.37,0,0,0,0,0,1,0,0
New York 1901,6.8,30.0,8.0,2.05,0,0,0,1,0,0,0,0
The Golden Ages,7.3,90.0,12.0,2.89,0,0,0,0,0,1,0,0
Santiago de Cuba,6.9,40.0,10.0,2.15,0,0,0,1,0,0,0,0
General Quarters (Third Edition),7.4,120.0,12.0,3.40,0,0,0,0,0,0,0,1
Twilight of the Ottomans: World War I in the Middle East,7.1,360.0,12.0,2.88,0,0,0,0,0,0,0,1
Attack of the Mutants!,6.3,30.0,12.0,2.00,0,0,0,0,0,0,0,1
Imperial Governor & Strategos,6.9,120.0,12.0,2.20,0,0,0,0,0,0,0,1
Le Temps des As,7.6,30.0,10.0,2.67,0,0,0,0,0,0,0,1
Eclipse,6.1,15.0,8.0,1.89,1,0,0,0,0,0,0,0
MedWar Sicily,6.5,120.0,10.0,2.28,0,0,0,0,0,0,0,1
Decision in France,6.9,360.0,12.0,3.00,0,0,0,0,0,0,0,1
Duel for Kharkov,7.1,180.0,12.0,3.55,0,0,0,0,0,0,0,1
Close Assault: A Man-to-Man Game of Squad Tactics and Command – Europe 1939-1945,7.2,90.0,12.0,2.88,0,0,0,0,0,0,0,1
"Alexandria, 1801",7.4,240.0,12.0,3.20,0,0,0,0,0,0,0,1
Bagh Chal,5.9,20.0,8.0,2.42,1,0,0,0,0,0,0,0
5150,7.3,120.0,12.0,2.60,0,0,0,0,0,0,0,1
Adlung Land,5.9,45.0,10.0,1.79,0,0,0,1,0,0,0,0
Destroyer Captain,7.5,90.0,12.0,3.00,0,0,0,0,0,0,0,1
Chronopia: War in the Eternal Realm,8.1,90.0,12.0,3.50,0,0,0,0,0,0,0,1
"Toulon, 1793",7.3,540.0,11.0,3.38,0,0,0,0,0,0,0,1
MixUp,6.3,20.0,8.0,1.67,1,0,0,0,0,0,0,0
"Solomons Campaign: Air, Land, and Sea Warfare, Pacific 1942",7.5,180.0,12.0,3.85,0,0,0,0,0,0,0,1
800 Heroes: Defense of Sihang Warehouse,6.9,30.0,10.0,1.70,0,0,0,0,0,0,0,1
Partizan!,7.4,240.0,10.0,2.50,0,0,0,0,0,0,0,1
Red Steel: Clash Of Armor At Kishinev,6.7,120.0,14.0,2.82,0,0,0,0,0,0,0,1
España 20: Volume 1,7.5,60.0,13.0,2.33,0,0,0,0,0,0,0,1
Karnivore Koala,5.9,20.0,12.0,1.38,0,0,0,0,1,0,0,0
Major Battles and Campaigns of General George S. Patton,6.4,30.0,12.0,1.79,0,0,0,0,0,0,0,1
Command Decision: Test of Battle,8.1,240.0,12.0,3.14,0,0,0,0,0,0,0,1
Maloney's Inheritance,6.0,45.0,12.0,2.00,0,0,0,1,0,0,0,0
The Alamo,6.2,90.0,12.0,2.27,0,0,0,0,0,0,0,1
The Great Pacific War: The Second World War in the Pacific,6.7,240.0,12.0,4.10,0,0,0,0,0,0,0,1
EinStein würfelt nicht!,6.6,10.0,6.0,1.57,1,0,0,0,0,0,0,0
Expedite,7.2,30.0,14.0,1.86,0,0,0,0,0,1,0,0
Kasserine Pass,6.8,120.0,12.0,2.29,0,0,0,0,0,0,0,1
Battleground World War II,7.2,60.0,12.0,3.64,0,0,0,0,0,0,0,1
Hetzer Sniper!: Sniper Companion Game #1,6.8,60.0,12.0,3.56,0,0,0,0,0,0,0,1
Slavika,5.9,30.0,10.0,2.24,0,0,0,1,0,0,0,0
The King of All Bards,7.7,30.0,10.0,2.25,0,0,0,0,0,0,1,0
Junior Labyrinth,5.7,15.0,5.0,1.20,0,1,0,0,0,0,0,0
Victory at Waterloo,6.9,180.0,10.0,1.67,0,0,0,0,0,0,0,1
Sorry! The Disney Edition,4.8,30.0,6.0,1.00,0,1,0,0,0,0,0,0
Partini,5.1,45.0,18.0,1.36,0,0,0,0,1,0,0,0
Bears vs Babies,5.5,15.0,7.0,1.25,0,0,0,0,1,0,0,0
Mr. Mouth,4.9,10.0,5.0,1.00,0,1,0,0,0,0,0,0
Gnip Gnop,4.8,10.0,5.0,1.06,0,1,0,0,0,0,0,0
Delta V,5.0,60.0,12.0,1.62,0,0,0,1,0,0,0,0
I Hate Zombies,5.2,15.0,6.0,1.04,0,0,0,0,1,0,0,0
Strike Force One: The Cold War Heats Up – 1975,4.8,15.0,13.0,1.12,0,0,0,0,0,0,0,1
Scrimmage: Tactical Professional Football,4.0,90.0,10.0,3.21,0,0,0,0,0,1,0,0
Swap!,5.0,10.0,7.0,1.20,0,1,0,0,0,0,0,0
Skip-Bo,5.5,20.0,8.0,1.22,0,0,0,1,0,0,0,0
Magdar,5.2,20.0,9.0,1.36,0,0,0,1,0,0,0,0
What's Yours Like?,5.1,45.0,12.0,1.13,0,0,0,0,1,0,0,0
Smart Ass,5.4,30.0,12.0,1.33,0,0,0,0,1,0,0,0
3D Tic Tac Toe,4.2,1.0,6.0,1.22,1,0,0,0,0,0,0,0
Ghost Castle,5.4,45.0,6.0,1.12,0,1,0,0,0,0,0,0
Wit's End,5.0,60.0,12.0,1.92,0,0,0,1,0,0,0,0
Dark World,5.3,90.0,10.0,1.93,0,0,0,0,0,0,1,0
Race 3000,4.8,20.0,7.0,1.13,0,1,0,0,0,0,0,0
Boggle Jr.,4.5,10.0,3.0,1.40,0,1,0,0,0,0,0,0
Wyvern,5.2,30.0,10.0,2.24,0,0,1,0,0,0,0,0
UNO Attack!,5.4,30.0,7.0,1.22,0,0,0,1,0,0,0,0
Cheat,5.1,10.0,8.0,1.12,0,0,0,1,0,0,0,0
The Civil War,2.9,1200.0,12.0,3.57,0,0,0,0,0,0,0,1
MacGregor,4.9,30.0,8.0,1.15,0,1,0,0,0,0,0,0
Class Struggle,5.0,90.0,12.0,1.65,0,0,0,0,0,0,1,0
Cranium Zigity,5.3,10.0,8.0,1.09,0,1,0,0,0,0,0,0
The Kids of Catan,5.2,20.0,4.0,1.06,0,1,0,0,0,0,0,0
